position0_particle0,position1_particle0,position2_particle0,position0_particle1,position1_particle1,position2_particle1,position0_particle2,position1_particle2,position2_particle2,position0_particle3,position1_particle3,position2_particle3,momentum0_particle0,momentum1_particle0,momentum2_particle0,momentum0_particle1,momentum1_particle1,momentum2_particle1,momentum0_particle2,momentum1_particle2,momentum2_particle2,momentum0_particle3,momentum1_particle3,momentum2_particle3,lambda0,lambda1,time,hamiltonian,hamiltonian_difference,dissipated_power,sum
0.3925400494257559,0.42722619865530176,0.12720181534060376,0.9436970900160044,0.5047467407259439,0.957994498363796,0.5397737054588374,0.8539202276525697,1.0204319045590664,0.138170092924063,0.05559826797997168,0.5716595935777407,0.2404920540632346,0.2645621072341467,0.16456624050226784,-0.14135614545296704,-0.01524527616614168,0.443996313760006,-0.026520601557955038,-0.1918814805089057,0.43468423476284707,0.14386692110527288,0.13088301554985882,-0.29195818925696077,0.16676054513198216,-0.6372688869136087,3.16,0.7685955586894894,-0.0005101785110318557,0.0005088046047930341,1.373906238821658e-06
0.39495111922085047,0.42987601711423606,0.1288623689995261,0.9422872871108082,0.5045924841035394,0.9624333431104136,0.5394985539631676,0.8519911806077047,1.0247683332544393,0.1396119678420246,0.05692165598671799,0.5687473148141331,0.2417219049556846,0.26540158455271623,0.1675444912822029,-0.14060443558627825,-0.015606048314758928,0.4437726355635095,-0.028509697576013925,-0.19392792846409776,0.4326015043117409,0.1445080624870488,0.13379458579940232,-0.29049756346454975,0.19313720511890214,2.1521737318274017,3.17,0.7680853801784575,-0.0005096149916690162,0.0005089888836638255,6.261080051907187e-07
0.39737499866682396,0.43253441928872244,0.1305539190672007,0.9408865004745409,0.504435529363009,0.9668705324217406,0.5392030666042201,0.8500406453999308,1.0290830722063409,0.1410579098352055,0.058273828354356086,0.5658490691723512,0.24305398423901775,0.2662788503445632,0.1707655222527168,-0.1395528916671742,-0.015784899791331998,0.44366522670188663,-0.030587774213485488,-0.19617911309066915,0.430346286068573,0.14468033614913073,0.13663988772821786,-0.2891515648918198,0.20379771185948414,-0.5147576971477966,3.18,0.7675757651867885,-0.0005097950804775486,0.0005099853195527923,1.902390752437158e-07
0.3998122136953341,0.43520158846738155,0.13227793821141598,0.9394965229209356,0.5042769586371614,0.971306805182985,0.538886792070767,0.8480674588231286,1.0333749812544195,0.14250505634064564,0.05965434136937301,0.5629642290320399,0.2443890214630041,0.2671549853872565,0.1740383065903369,-0.13844261905388972,-0.015929245378189308,0.44358932554697966,-0.032667132477156885,-0.19845820226977176,0.4280355235471636,0.14474896493889805,0.13946271527516763,-0.2878164631704419,0.19741835209209063,2.180163079338962,3.19,0.767065970106311,-0.0005102659241686958,0.0005112394095081177,9.734853394218965e-07
0.4022623011200882,0.43787732583404065,0.13403396139929105,0.9381167182192555,0.504116370608833,0.9757420061645982,0.5385501567563331,0.8460722369542103,1.0376441286613034,0.14395422569563626,0.06106318667339537,0.5600932495211296,0.24562846348781303,0.26799248794455965,0.1771663309846751,-0.13751832128213748,-0.01618836028748389,0.4434508707756631,-0.03465993040960233,-0.20058617151388128,0.4257939578296034,0.1450849060592268,0.1423063455293044,-0.2863794390116183,0.1747830545770365,-0.584768602179872,3.2,0.7665557041821423,-0.0005104097520191031,0.0005120377785449028,1.6280265257997235e-06
0.4047238761046163,0.44056108760663015,0.13581965285845865,0.9367441361005396,0.5039519542795073,0.9801750525429358,0.5381944121572518,0.8440572866969624,1.0418917911937835,0.14540974566593395,0.06250075891284093,0.5572376880982562,0.24668653341780825,0.26875986657334205,0.17997196084884706,-0.13699810246101685,-0.016694905577639557,0.4431584048918595,-0.03648898940664654,-0.20240387993569406,0.4237385486664224,0.14601908800031185,0.14520810235980672,-0.2847328455630565,0.13866098818052588,2.0207647939477678,3.21,0.7660452944301231,-0.0005095703152041553,0.0005116458991000608,2.0755838959055127e-06
0.4071948111475361,0.4432520634081546,0.13763110523681582,0.9353739107951559,0.5037807360601146,0.9846040200826349,0.537821481520997,0.8420263103120819,1.0461203016911187,0.14687885233453268,0.06396777334924038,0.554400082721006,0.24750047516614826,0.26943529373154174,0.18231851482258818,-0.13704695861573904,-0.017548738300905784,0.44263510304796383,-0.03809713784433284,-0.20379139704042032,0.421963550800599,0.14780224571943248,0.14819478492008284,-0.28278822988697433,0.09347395004923767,-0.8139609824027709,3.22,0.765535724114919,-0.0005072225744289227,0.0005094867081355018,2.264133706579097e-06
0.40967250242832853,0.44594928438049664,0.13946333447461753,0.9339998903020497,0.5035989675416265,0.9890263423539292,0.5374337259836156,0.8399839421182235,1.050332760180386,0.14837073935482883,0.065465144778062,0.5515837000286534,0.24803778099234616,0.27000890073686185,0.18412733273775386,-0.1377571400055112,-0.018804965396726242,0.44182935121088784,-0.03945396963194079,-0.20468224173125893,0.42052814705287367,0.15057515833979535,0.15127950084424172,-0.2804883085835446,0.04473603117508161,1.7499004344767968,3.23,0.7650285015404901,-0.0005031221519726792,0.0005052957812978167,2.1736293251375287e-06
0.4121541892111318,0.44865174628372495,0.14131090970236077,0.9326154160799602,0.5034026044026465,0.9934391012682995,0.5370336599879744,0.8379351765651658,1.0545326421341856,0.14989537916273468,0.06699384376967618,0.5487921821083043,0.24829957556829896,0.2704834799088049,0.18538771281089506,-0.13913770441237672,-0.02046766239925908,0.4407224316631798,-0.04055922949630653,-0.20507086888027679,0.41944824370706585,0.15435280324137476,0.15446029747859263,-0.2778152754862852,-0.001612036129227701,-1.0933250077388812,3.24,0.7645253793885174,-0.0004973759988867732,0.0004991939227889187,1.81792390214553e-06
0.4146372860967598,0.4513585315255819,0.14316864051314143,0.931214155326718,0.5031878162334152,0.9978393744354225,0.5366236517002447,0.8358847595359068,1.0587233512258043,0.15146226412501523,0.06855474873034241,0.5460291343301439,0.2483198015573103,0.27087356846258565,0.1861584493452398,-0.14111444623606942,-0.022489971446992,0.4393322017614287,-0.041442428049630484,-0.20501253697153007,0.41869357461666445,0.15902418921473468,0.15772069465465177,-0.2747942801457958,-0.039950819519029554,1.49614926060814,3.25,0.7640280033896306,-0.0004904068351714308,0.0004916495466210606,1.242711449629826e-06
0.41711968694994545,0.4540689148413247,0.14503223641341326,0.9297908825719085,0.502951463876576,1.0022245961433427,0.5362056456993273,0.8338366185018053,1.0629077720651636,0.15307922366228177,0.0701485123381121,0.5432977055333446,0.24816036907981429,0.27120309468597364,0.18656073070912618,-0.14354010472584008,-0.02478049992086725,0.4377121398226068,-0.04215877213385377,-0.20461566984876536,0.41819059325520785,0.1643677182385709,0.16103202689928645,-0.2714914792140727,-0.06566358562383134,-1.290628695034426,3.2600000000000002,0.7635375965544592,-0.00048282707429336824,0.0004833468738553713,5.197995620030726e-07
0.41960000346548715,0.45678244003438273,0.14689885625717156,0.9283421146534159,0.5026914855905484,1.0065928854560329,0.5357809421342715,0.8317934015303566,1.0670878796554646,0.15475146215614305,0.07177545863185127,0.5406002142159793,0.24790293402852936,0.2715019439256287,0.18676323804253403,-0.1462134789726683,-0.027215157284632273,0.4359457227154278,-0.04278194087729878,-0.20402772444098344,0.41783092480498357,0.17007998053368445,0.1643572318485462,-0.2680067842589874,-0.07572129481404874,1.3790282904311486,3.27,0.7630547694801658,-0.00047527352165088743,0.0004750119583783141,2.615632725733218e-07
0.4220777100961647,0.45949895939019986,0.14876747884702543,0.9268665224095478,0.5024071453394497,1.010943297657661,0.535350059136009,0.8297561807943065,1.0712644562831775,0.15648093333080812,0.07343552280267134,0.5379378698404038,0.2476383921069816,0.2718019272377943,0.18696127992823847,-0.1489049698009521,-0.029652892935095414,0.4341367176102373,-0.04339465877521154,-0.20341642276904584,0.41748440073757,0.17581425439933068,0.1676556023154682,-0.26446209085609423,-0.0690387737657111,-1.3138493863047918,3.2800000000000002,0.7625794959585149,-0.0004682661778790953,0.0004672608217286648,1.0053561504304851e-06
